"","datetime","city","state","country","shape","DurationSeconds","DurationHrsMins","comments","DatePosted","latitude","longitude","X"
"877",2020-10-01,"","","","","0","","","((EDITORIAL COMMENT ABOUT THE UFO PHENOMEN))  ufo+alien+reptiles",0,0,0
"1712",2020-10-14,"","","","","0","","","With all the guns in this country...why hasn&#39t anyone taken a shot at one?",0,0,0
"1814",2020-10-14,"","nv","","","0","light","22","3 Green lights",0,0,0
"2857",2020-10-17,"","tx","","","0","oval","5 minutes","An oval shaped object  in a photograph.  ((NUFORC Note:  Does not look like a UFO to us.  PD))",0,0,0
"3733",2020-10-20,"","ct","","","0","egg","2 hours","Bright light visible in W sky for long periods of time that seem to be fixed in the sky.  ((NUFORC Note:  Sighting of Venus?  PD))",0,0,0
"4755",2020-10-24,"","sd","","","0","sphere","30sec","Several orbs over South Dakota farmland.",0,0,0
"5388",2020-10-27,"","ny","","","0","","night","Dream of UFO connected to sightings in NY",0,0,0
"5422",2020-10-27,"","mi","","","0","light","","Highway in SE Michigan&#44 saw cluster of white lights.",0,0,0
"5613",2020-10-28,"","","","","0","","","Why don&#39t you just drop the site so I don&#39t have to keep looking at a July date?",0,0,0
"5848",2020-10-29,"","oh","","","0","","15 seconds","four bright harizontal lights",0,0,0
"6092",2020-10-30,"","","","","0","fireball","10 minutes","Some light or fireball hovering over a small town",0,0,0
"7515",2020-10-06,"","","","","0","","","On Saturday at around 21:30 I got a text from my wife saying words to the effect of &#39you&#39ll never believe but the lights are back.",0,0,0
"7625",2020-10-07,"","","","","0","","","I am curious to know if the 03/05/07 Muncie&#44  IN.  photo is similar to this photo.This was an unseen artifact taken with a 35 MM fi",0,0,0
"8892",2020-11-11,"","mo","","","0","","","There were a star-like object in the sky.",0,0,0
"9014",2019-11-01,"","mt","","","0","disk","3 seconds","Driving at night in Montana enroute to N.Y. I saw an orange saucer-like object moving at great speed exactly parallel to the ground.  D",0,0,0
"9570",2019-11-12,"","nv","","","0","triangle","40minutes","large triangle shape flying object hovering silently above me.",0,0,0
"9619",2020-11-12,"","","","","0","","1","I recognized what could be a typical UFO in the CNN.com news ((NUFORC Note:  &quot;UFO&quot; is street lamp.  PD))",0,0,0
"9750",2020-11-12,"","","","","0","circle","3 seconds","A doghnut shaped light&#44 size of the sun moving with highspeed and disappearing",0,0,0
"10156",2020-11-14,"","","","","0","","","explosion in sky",0,0,0
"10426",2019-11-15,"","","","","0","light","10 to 15 seconds","4 or 5 white lights that flew in front of the 737 I was passenger in.",0,0,0
"12034",2019-01-01,"","nv","","","0","unknown","3 hours","2 more witnesses for that UFO siting that was on tv showing the &#39V&#39 Shape formation where 1 disappeared at a time behind the mountain.",0,0,0
"12112",2020-01-01,"","","","","0","light","10 minutes","Red/Orange light in the sky.",0,0,0
"12143",2020-01-01,"","co","","","0","circle","20 -30 minutes","A silver craft that seemed to be on a pleasure cruise.",0,0,0
"12890",2020-11-20,"","tx","","","0","light","30 min","10:00 pm= I saw 2 pair of lights. moments later one pair disapeared. another moment later I saw the other pair disapear &amp; I saw a air p",0,0,0
"14612",2019-11-27,"","oh","","","0","cylinder","","Lake County Alien abduction 1997",0,0,0
"16030",2020-11-04,"","tx","","","0","triangle","3 min","Triangle ufo witnessed.",0,0,0
"16343",2019-01-15,"","ct","","","0","cylinder","3 minutes","Black Cylinder/tube shaped ufo pivots in night sky with red/green blinking lights.",0,0,0
"16398",2020-11-05,"","oh","","","0","","hours.","Reports of Northern Lights from all across the U. S..",0,0,0
"16634",2020-01-15,"","","","","0","","","in january 2008 i reported a sighting to your website. I just read that you called it a hoax.  Now who is the genius who makes that  ca",0,0,0
"16721",2020-01-15,"","wi","","","0","fireball","30 seconds","((HOAX??))  Angel-like appearance.",0,0,0
"18240",2020-01-19,"","","","","0","","","((HOAX??)) DON&#39T KNOW IF THIS WAS A DREAM OR NOT. WHEN I GOT LOST ONE NIGHT I WAS TAKEN IN A SHIP THERE WHERE 3 ROUND OBJECT.",0,0,0
