"","datetime","city","country","shape"
"1",2019-10-10,"san marcos","us","cylinder"
"2",2019-10-10,"lackland afb","","light"
"3",2019-10-10,"chester (uk/england)","gb","circle"
"4",2019-10-10,"edna","us","circle"
"5",2019-10-10,"kaneohe","us","light"
"6",2019-10-10,"bristol","us","sphere"
"7",2019-10-10,"penarth (uk/wales)","gb","circle"
"8",2019-10-10,"norwalk","us","disk"
"9",2019-10-10,"pell city","us","disk"
"10",2019-10-10,"live oak","us","disk"
"11",2019-10-10,"hawthorne","us","circle"
"12",2019-10-10,"brevard","us","fireball"
"13",2019-10-10,"bellmore","us","disk"
"14",2019-10-10,"manchester","us","unknown"
"15",2019-10-10,"lexington","us","oval"
"16",2019-10-10,"harlan county","us","circle"
"17",2019-10-10,"west bloomfield","us","disk"
"18",2019-10-10,"niantic","us","disk"
"19",2019-10-10,"bermuda nas","","light"
"20",2019-10-10,"willow beach","","light"
"21",2019-10-10,"hudson","us","other"
"22",2019-10-10,"cardiff (uk/wales)","gb","disk"
"23",2019-10-10,"hudson","us","light"
"24",2019-10-10,"north charleston","us","light"
"25",2019-10-10,"washougal","us","oval"
"26",2019-10-10,"stoke mandeville (uk/england)","gb","cigar"
"27",2019-10-10,"san antonio","us","other"
"28",2019-10-10,"louisville","us","light"
"29",2019-10-10,"elmont","us","rectangle"
"30",2019-10-10,"poughkeepsie","us","chevron"
"31",2019-10-10,"saddle lake (canada)","","triangle"
"32",2019-10-10,"san diego","us","oval"
"33",2019-10-10,"security","us","unknown"
"34",2019-10-10,"houston","us","sphere"
"35",2019-10-10,"dallas","us","unknown"
"36",2019-10-10,"manchester","us","light"
"37",2019-10-10,"gisborne (new zealand)","","disk"
"38",2019-10-10,"houston","us","circle"
"39",2019-10-10,"traverse city","us","other"
"40",2019-10-10,"white plains","us","formation"
"41",2019-10-10,"leeds (uk/england)","gb","triangle"
"42",2019-10-10,"holmes/pawling","","chevron"
"43",2019-10-10,"manilla (rr#1) (canada)","","disk"
"44",2019-10-10,"milwaukee","us","triangle"
"45",2019-10-10,"new gloucester","us","unknown"
"46",2019-10-10,"boulder","us","light"
"47",2019-10-10,"seattle (ballard area)","us","unknown"
"48",2019-10-10,"calabasas","us","disk"
"49",2019-10-10,"centralia","us","triangle"
"50",2019-10-10,"kranklin","","triangle"
"51",2019-10-10,"pense (canada)","","unknown"
"52",2019-10-10,"ashburn","us","triangle"
"53",2019-10-10,"frisco","us","unknown"
"54",2019-10-10,"harrisburg","us","triangle"
"55",2019-10-10,"panama city","us","formation"
"56",2019-10-10,"stafford","us","unknown"
"57",2019-10-10,"seymour","us","cigar"
"58",2019-10-10,"weatherford","us","unknown"
"59",2019-10-10,"zlatoust (russia)","","sphere"
"60",2019-10-10,"peoria","us","light"
"61",2019-10-10,"carthage","us","other"
"62",2019-10-10,"mercedies","","cigar"
"63",2019-10-10,"burnt hills","us","rectangle"
"64",2019-10-10,"pinebergen","us","light"
"65",2019-10-10,"toronto (greater toronto area) (canada)","ca","sphere"
"66",2019-10-10,"puerto rico (puerto rico)","",""
"67",2019-10-10,"milwaukee","us",""
"68",2019-10-10,"oakland","us",""
"69",2019-10-10,"higginsville","us","triangle"
"70",2019-10-10,"lake macquarie (nsw&#44 australia)","","light"
"71",2019-10-10,"charleston","us","light"
"72",2019-10-10,"monroe county","us","cylinder"
"73",2019-10-10,"connersville","us","delta"
"74",2019-10-10,"mesa","us","sphere"
"75",2019-10-10,"bonaire","us","triangle"
"76",2019-10-10,"austin","us","other"
"77",2019-10-10,"turin (italy)","","disk"
"78",2019-10-10,"hollywood","us","changing"
